,High School,# of SAT Takers in 2014,Avg SAT Critical Reading Score in 2014,Avg SAT Math Scores in 2014,Avg SAT Writing Scores in 2014
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,70,301,315,290
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,8,354,381,345
12X478,THE CINEMA SCHOOL,57,422,421,415
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,33,391,392,394
12X480,BRONX REGIONAL HIGH SCHOOL,6,385,328,377
12X511,BRONX ENVISION ACADEMY,s,s,s,s
12X550,HIGH SCHOOL OF WORLD CULTURES,45,329,329,306
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,82,358,349,351
12X684,WINGS ACADEMY,67,384,365,374
12X690,MONROE ACADEMY FOR BUSINESS/LAW,14,329,376,346
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,40,350,356,345
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,48,380,354,379
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,158,502,505,465
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,53,395,378,398
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",63,374,361,365
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",62,424,428,424
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,"1,290",597,667,593
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,82,309,391,324
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,414,408,399
13K499,ACORN COMMUNITY HIGH SCHOOL,138,381,371,372
13K509,FREEDOM ACADEMY HIGH SCHOOL,10,358,356,372
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,54,404,405,404
13K553,BROOKLYN ACADEMY HIGH SCHOOL,12,417,381,377
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,7,350,347,357
13K595,BEDFORD ACADEMY HIGH SCHOOL,83,457,484,450
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,96,401,398,395
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,5,404,316,382
13K670,BENJAMIN BANNEKER ACADEMY,178,463,465,456
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",27,447,477,409
